iata_code,airport_name,city,hotel_name,price_per_night,rating,reviews,hotel_class,amenities,image_url
ADD,Bole Airport,Addis Ababa,"Bole Ambassador Hotel, Addis Ababa",,3.6,706.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Air conditioning | Restaurant | Room service | Kitchen in some rooms | Airport shuttle | Full‑service laundry | Accessible | Kid-friendly | Smoke-free property,https://lh5.googleusercontent.com/proxy/jyQkNseqSKRz-lS5rKe9STNPTLb7dkJ3FPHEeZZSAqEQ-kEdVFYgbu4h2nIb9FQnUmkiIYSBLhzs3APUOymN9lsNfZJaNIElzs9nKWWrGUgI0DWcGc0-b1Qc1ART3urgFH9E4k6dWhVIJ02HG4tvxQe6lC99_g=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,Ethiopian Skylight In-Terminal Hotel,,4.2,471.0,,Free breakfast | Free Wi‑Fi | Free parking | Pool | Restaurant | Full‑service laundry,https://lh3.googleusercontent.com/proxy/tPbjM7YSMZDg08oDXIrqUkhA1GyXnGqzEqH72euLsjdjUOvZb9woUZ1KTXVuVnDn9k5nCUuvbFwM1do3_4k5cWV77IhZrLomOgG-tyc7O-9qSvJANYioQeNhM9NL0vr3uVmAyazh2kcdf_78t5yTCYYzRDYjdA=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,DoubleTree by Hilton Addis Ababa Airport,,4.9,286.0,4-star hotel,Free Wi‑Fi | Free parking | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Kid-friendly | Smoke-free property,https://via.placeholder.com/400x300?text=No+Image+Found
ADD,Bole Airport,Addis Ababa,Bonanza Addis Hotel,,4.0,149.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Airport shuttle | Full‑service laundry | Accessible | Business center,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-826j1bbf9XDGYEO3poAEWQlm5twoOhrCLLG6443_1SaMOcapk4O2NT0pB9gYFYZ_bW3-kuHGCv6Sl_PhJwWGtEi3vU2fbUcGfGSGYw2UyXLlHxzAyV7CoUGnflyVbZbjdTKCPHGmxqVR=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,Cassiopeia Hotel | Bole | ሆቴል ካሲዮፒያ | ቦሌ,,4.5,262.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Air conditioning | Fitness center | Restaurant | Airport shuttle | Full‑service laundry | Accessible,https://lh5.googleusercontent.com/proxy/3bfUS1J6LF22fqaqVL8Fm840Tbm5yJg_HB2vONz7bkoOboKJYFceE85RAVzgYnaEo80Kdpniz5RrppmNkq8imPFWn1RUxVa0iZr6AjA3sRrhIkgWu_2nsVmsyMogG0LvBUp4bCDoApNC8AOfOq7kY7BFQR5aZg=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,Vamos Addis Hotel ቫሞስ አዲስ ሆቴል,,4.6,189.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFs5Y9gxTE4xLAiv3LoCimtd-R84yOUCUkwz_PmqK72aVTnTSU4eRyT38V88BUDgFG9tvacuGd6zS8gQrSAnhZBxHnKLMWUtHNr6vmJzSfBAw41oeKSISzsQcjJ9DjKM6Fw6tI7gTgVAiI=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,The Hub Hotel,,4.3,400.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Air conditioning | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEXC6rApfYVage_ATOPklaSIfSXHlbObJfGxikjSHrtn8xZwrqvZNYltXjCgtWSQMVwgoYbQsZ7yImp5uwgWGp-6_1CkcaIqiVMBJFugh_fNh3xYltg4ViMlZLUlFwvY07V2P6Qw=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,Friendship International Hotel,,3.8,484.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Hot tub | Air conditioning | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Kid-friendly,https://lh3.googleusercontent.com/proxy/U29XvNPrBzYfth0R-2_dtYiQJekrqnVG_A_vqLPoclKBDroCspkFrNaCEnU4ZCEIkpATRx2_ywvs_PAIz4G92uWvJi-Vo1XR-niY5eCtyGcAwnKEMrNbMr_aJR1lIjz2EG-qSLu1BCEuuF6wrdqpqC-r88XTTA=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,Kaleb Hotel | Bole Medhanialem | ካሌብ ሆቴል | ቦሌ መድሃኒአለም,,3.8,198.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Pet-friendly | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry,https://lh6.googleusercontent.com/proxy/Xv7uWCjnncrkswOcRHKGl8JBxnUmGe-yCVvrCZ8iXd8zaWIskd6A7h7csleBcoPsxhmQzLRKfB5iWYgIEnot5FZr-4r53nYbcBJlvlBJfWy4rsSNG1G1xQnBAM0oSuz_vRbNDR1PVZmyC4zSBOuGu2MTgl0rLYA=s287-w287-h192-n-k-no-v1
ADD,Bole Airport,Addis Ababa,Sherar Addis Hotel,,3.8,76.0,5-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Restaurant | Airport shuttle | Full‑service laundry,https://lh5.googleusercontent.com/proxy/vZbsDnq6-KD57EqIhT3r4EugxBnuI_XSbKtPRM0eXRkUcWE781GLuwHMZkKsQJRvgYHVak89HlD1wB4IelEiqSbQ6VT82NeXnOG2SF4-znbyr5ycWXOaZDTgABb9ZLS5uOpmbzjsK4XsyzeRoZc52JcUWwsZRSY=s287-w287-h192-n-k-no-v1
