origin_iata,destination_iata,flight_type,airlines,departure_time,arrival_time,duration_hours,number_of_flights_per_day,min_price,avg_price,emissions_co2,aircraft_types,number_of_stops,layover_details,notes
SVO,SLL,One way,Etihad | Air Arabia,23:55,09:50,8.92,1,503,503,320000 kg,Boeing 787-10 | Airbus A320,1,AUH (80m),Found on 2026-04-16
SVO,TLV,One way,Etihad,12:50,00:15,11.42,2,787,787,377000 kg,Boeing 787-10 | Airbus A321neo,1,AUH (135m),Found on 2026-04-16
SVO,ZNZ,One way,Etihad | Ethiopian,23:55,18:15,18.33,4,592,3878.75,593000 kg,Boeing 787-10 | Airbus A320 | Airbus A350,2,AUH (135m) | ADD (190m),Found on 2026-04-16
SVO,MED,One way,Etihad,23:55,10:20,34.42,3,547,4109.67,381000 kg,Boeing 787-10 | Airbus A321,1,AUH (1565m),Found on 2026-04-16
SVO,KRK,One way,Air Serbia,23:50,19:40,20.83,3,397,595.5,,Airbus A320 | ATR 72,1,BEG (955m),Found on 2026-04-18 (Round 2)
SVO,OTP,One way,Air Serbia,23:50,15:20,15.5,4,451,537.67,,Airbus A320 | Embraer 190,1,BEG (675m),Found on 2026-04-18 (Round 2)
SVO,DAM,One way,Qatar Airways,16:50,13:05,20.25,1,709,709,,Boeing 777 | Airbus A330,1,DOH (715m),Found on 2026-05-18 (Round 2)
SVO,PMI,One way,Air Algerie,04:10,12:10,9.0,1,506,506,,Boeing 737,1,ALG (170m),Found on 2026-05-18 (Round 2)
SVO,KBL,One way,Etihad,23:55,18:15,16.83,1,487,487,402000 kg,Boeing 787-10 | Airbus A320,1,AUH (485m),Found on 2026-04-16
SVO,LUX,One way,Etihad | SWISS,12:50,09:30,21.67,4,,,,Boeing 787-10 | Boeing 787 | Airbus A220-300 Passenger,2,AUH (400m) | ZRH (100m),Found on 2026-04-18 (Round 2)
SVO,YYC,One way,Qatar Airways | American,17:00,21:44,37.73,3,1350,1360.5,,Boeing 777 | Airbus A350 | Airbus A319,2,DOH (175m) | DFW (540m),Found on 2026-04-18 (Round 2)
SYD,AUH,One way,Etihad,20:50,05:15,14.42,1,877,877,695000 kg,Airbus A350,0,Direct,Found on 2026-04-16
SYD,BCN,One way,Etihad,20:50,19:20,30.5,1,703,703,1007000 kg,Airbus A350 | Boeing 787,1,AUH (535m),Found on 2026-04-16
SYD,CAI,One way,Etihad,20:50,12:10,23.33,1,801,801,902000 kg,Airbus A350 | Airbus A320,1,AUH (310m),Found on 2026-04-16
SYD,MAD,One way,Etihad,20:50,19:40,30.83,1,853,853,984000 kg,Airbus A350 | Boeing 787,1,AUH (530m),Found on 2026-04-16
SYD,MXP,One way,Etihad,20:50,18:50,30.0,1,703,703,998000 kg,Airbus A350 | Boeing 787,1,AUH (545m),Found on 2026-04-16
SYD,ADD,One way,Etihad,20:50,12:30,22.67,2,1106,1106,943000 kg,Airbus A350 | Airbus A320,1,AUH (220m),Found on 2026-04-16
SYD,AER,One way,Etihad,20:50,18:10,28.33,1,566,566,915000 kg,Airbus A350 | Airbus A320,1,AUH (580m),Found on 2026-04-16
SYD,AGP,One way,Etihad | Air Europa,20:50,07:45,42.92,1,1164,1164,1041000 kg,Airbus A350 | Boeing 787 | Boeing 737,2,AUH (530m) | MAD (650m),Found on 2026-04-16
SYD,AMD,One way,Etihad,20:50,18:35,26.25,2,616,616,882000 kg,Airbus A350 | Airbus A321,1,AUH (530m),Found on 2026-04-16
SYD,AMM,One way,Etihad,20:50,23:35,33.75,1,797,797,878000 kg,Airbus A350 | Airbus A320,1,AUH (965m),Found on 2026-04-16
SYD,AMS,One way,Etihad,20:50,19:10,30.33,1,634,634,999000 kg,Airbus A350,1,AUH (530m),Found on 2026-04-16
SYD,ATH,One way,Etihad,20:50,06:15,40.42,2,945,1256,989000 kg,Airbus A350 | Airbus A320,1,AUH (1255m),Found on 2026-04-16
SYD,ATL,One way,Etihad,20:50,16:30,33.67,1,1595,1595,1393000 kg,Airbus A350,1,AUH (245m),Found on 2026-04-16
SYD,BAH,One way,Etihad,20:50,09:40,19.83,3,1123,1328.67,771000 kg,Airbus A350 | Airbus A320,1,AUH (250m),Found on 2026-04-16
SYD,BEY,One way,Etihad,20:50,11:05,21.25,1,780,780,914000 kg,Airbus A350 | Airbus A320,1,AUH (200m),Found on 2026-04-16
SYD,BLR,One way,Etihad | Akasa Air,20:50,08:45,40.42,2,633,638.5,871000 kg,Airbus A350 | Boeing 737MAX 8 Passenger,1,AUH (1305m),Found on 2026-04-16
